"atb;""dpt"";""nbtot"";""pourR"";""ICinf"";""ICsup"";""catR"""
"TÈtracycline;""14"";6;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""74"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""03"";431;""68.2"";""63.6"";""72.6"";""en-dessous"""
"TÈtracycline;""55"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""04"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""51"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""53"";115;""80.9"";""72.5"";""87.6"";""dans la moyenne"""
"TÈtracycline;""43"";5;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""48"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""10"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""63"";57;""64.9"";""51.1"";""77.1"";""dans la moyenne"""
"TÈtracycline;""80"";15;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""16"";28;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""62"";35;""100"";""90"";""100"";""au-dessus"""
"TÈtracycline;""12"";114;""78.9"";""70.3"";""86"";""dans la moyenne"""
"TÈtracycline;""57"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""32"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""39"";92;""84.8"";""75.8"";""91.4"";""dans la moyenne"""
"TÈtracycline;""35"";294;""77.6"";""72.3"";""82.2"";""dans la moyenne"""
"TÈtracycline;""88"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""67"";14;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""41"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""05"";22;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""54"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""49"";48;""81.2"";""67.4"";""91.1"";""dans la moyenne"""
"TÈtracycline;""50"";241;""73.4"";""67.4"";""78.9"";""dans la moyenne"""
"TÈtracycline;""90"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""42"";142;""83.8"";""76.7"";""89.4"";""dans la moyenne"""
"TÈtracycline;""27"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""36"";11;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""81"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""22"";120;""83.3"";""75.4"";""89.5"";""dans la moyenne"""
"TÈtracycline;""23"";138;""74.6"";""66.5"";""81.7"";""dans la moyenne"""
"TÈtracycline;""37"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""21"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""87"";121;""58.7"";""49.4"";""67.6"";""en-dessous"""
"TÈtracycline;""02"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""59"";12;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""44"";70;""68.6"";""56.4"";""79.1"";""dans la moyenne"""
"TÈtracycline;""56"";41;""75.6"";""59.7"";""87.6"";""dans la moyenne"""
"TÈtracycline;""85"";121;""73.6"";""64.8"";""81.2"";""dans la moyenne"""
"TÈtracycline;""31"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""45"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""01"";63;""77.8"";""65.5"";""87.3"";""dans la moyenne"""
"TÈtracycline;""61"";194;""85.6"";""79.8"";""90.2"";""au-dessus"""
"TÈtracycline;""72"";32;""75"";""56.6"";""88.5"";""dans la moyenne"""
"TÈtracycline;""79"";19;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""68"";9;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""78"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""17"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""60"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""89"";23;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""40"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""86"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""24"";55;""70.9"";""57.1"";""82.4"";""dans la moyenne"""
"TÈtracycline;""82"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""15"";99;""81.8"";""72.8"";""88.9"";""dans la moyenne"""
"TÈtracycline;""28"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""38"";32;""96.9"";""83.8"";""99.9"";""au-dessus"""
"TÈtracycline;""52"";16;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""18"";7;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""29"";58;""82.8"";""70.6"";""91.4"";""dans la moyenne"""
"TÈtracycline;""19"";13;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""25"";156;""86.5"";""80.2"";""91.5"";""au-dessus"""
"TÈtracycline;""33"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""73"";33;""97"";""84.2"";""99.9"";""au-dessus"""
"TÈtracycline;""64"";3;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""NR"";4;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""46"";2;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""07"";1;""-"";""-"";""-"";""< ‡ 30 atbg"""
"TÈtracycline;""08"";39;""79.5"";""63.5"";""90.7"";""dans la moyenne"""
"TÈtracycline;""76"";31;""93.5"";""78.6"";""99.2"";""dans la moyenne"""
